,Title,Published_date,Views,Likes,Dislikes,Comments,Month
200,Reviewing Your Data Analyst Resumes | Part 2,2021-03-02,21877,552,0,77,Mar
201,Best Course to Learn Statistics for Data Analysis,2021-02-25,88862,2423,0,89,Feb
202,DataQuest Review | Is it Worth it?,2021-02-23,22780,411,0,46,Feb
203,R vs Python | Which is Better for Data Analysis?,2021-02-16,210666,4777,0,388,Feb
204,Advanced SQL Tutorial | String Functions + Use Cases,2021-02-04,148028,3902,0,141,Feb
205,Advanced SQL Tutorial | Temp Tables,2021-02-02,213758,5013,0,129,Feb
206,IBM Data Analyst Certificate Study Session,2021-01-30,5176,175,0,22,Jan
207,IBM Data Analyst Professional Certificate by Coursera | Is it Worth it?,2021-01-26,109342,2880,0,296,Jan
208,DataCamp Review | Is it Worth it?,2021-01-21,156878,3401,0,251,Jan
209,Best Python Course for Data Analysts,2021-01-19,48436,1330,0,114,Jan
210,Top 5 Data Analyst Skills,2021-01-12,26953,1236,0,169,Jan
211,Best Industries for Data Analysts in 2021 | Alex The Analyst Show | Episode 17,2021-01-07,14601,476,0,149,Jan
212,Top 5 Data Analyst Interview Mistakes,2021-01-05,64106,1726,0,67,Jan
213,2020 Year End Review + Upcoming Giveaway Details,2020-12-31,1554,140,0,101,Dec
214,Data Analyst Resume | Everything You Need to Know | Alex The Analyst Show | Episode 16,2020-12-24,40933,1190,0,138,Dec
215,Solving Medium Level SQL LeetCode Questions | Part 2/3,2020-12-22,10539,238,0,32,Dec
216,Entry vs Mid vs Senior Level Data Analyst | Alex The Analyst Show | Episode 15,2020-12-17,45669,1529,0,207,Dec
217,Data Engineer vs Data Analyst | Which Is Right For You?,2020-12-15,78490,2635,0,144,Dec
218,How to Find Out Your Coworkers Salary | Alex The Analyst Show | Episode 14,2020-12-10,2668,95,0,54,Dec
219,Advanced SQL Tutorial | CTE (Common Table Expression),2020-12-08,284268,4785,0,173,Dec
220,"Data Analyst Salary (Expectations, Bonuses, 401K, ESPP) | Alex The Analyst Show | Episode 13",2020-12-03,22849,738,0,194,Dec
221,Intermediate SQL Tutorial | Partition By,2020-12-01,226254,5571,0,186,Dec
222,Data Analyst Q/A LIVE #5 | AMA,2020-11-28,4810,131,0,18,Nov
223,Completely REALISTIC Jobs on LinkedIn | Alex The Analyst Show | Episode 12,2020-11-25,24232,876,0,161,Nov
224,Completely Unrealistic Jobs on LinkedIn | Alex The Analyst Show | Episode 11,2020-11-19,14285,566,0,206,Nov
225,Top 3 Tips on Using LinkedIn to Land a Job,2020-11-17,249956,9669,0,215,Nov
226,What is No Code Analytics? | Alex The Analyst Show | Episode 10,2020-11-12,3747,120,0,80,Nov
227,Solving LeetCode SQL Interview Questions | Part 1/3,2020-11-10,23537,628,0,63,Nov
228,What is Analytics Consulting? With John Ariansen | Alex The Analyst Show | Episode 9,2020-11-05,12452,369,0,118,Nov
229,Data Analyst Skills Path | What Skills You NEED to Know,2020-11-03,75825,3582,0,275,Nov
230,Data Analyst Q&A LIVE #4,2020-10-30,3452,105,0,25,Oct
231,Asking My Wife Your Questions About Me | Alex The Analyst Show | Episode 8,2020-10-27,13683,552,0,223,Oct
232,Top 10 Udemy Courses for Data Analysts,2020-10-22,148749,4497,0,276,Oct
233,Data Analyst Certifications | Are They Worth It? | Alex The Analyst Show | Episode 7,2020-10-20,177579,6209,0,986,Oct
234,Working at a Startup vs Fortune 500 Company | Alex The Analyst Show | Episode 6,2020-10-15,4553,171,0,72,Oct
235,Top 10 Coursera Courses for Data Analysts,2020-10-13,103692,4612,0,279,Oct
236,Imposter Syndrome in Tech | Alex The Analyst Show | Episode 5,2020-10-08,7129,360,0,178,Oct
237,Data Analyst Expectations vs Reality,2020-10-06,75360,2800,0,185,Oct
238,Covid and the Data Analyst Job Market | Alex The Analyst Show | Episode 4,2020-10-01,7146,254,0,164,Oct
239,Self Taught vs Boot Camp vs Degree | Alex The Analyst Show | Episode 3,2020-09-24,44694,1497,0,720,Sep
240,Top 5 Reasons You'll Be a Good Data Analyst,2020-09-22,14503,609,0,82,Sep
241,How I Changed Careers to Become a Data Analyst | Alex The Analyst Show | Episode 2,2020-09-10,414051,12143,0,3823,Sep
242,Top 5 Reasons Data Analytics is a Good Career Choice,2020-09-08,44082,1323,0,74,Sep
243,The Hiring Process from an Interviewer's Perspective | Alex The Analyst Show | Episode 1,2020-09-03,19803,678,0,83,Sep
244,Top 5 Reasons Not to Lie on Your Resume,2020-09-01,11636,203,0,119,Sep
245,Live Data Analyst Q&A #3,2020-08-29,2845,101,0,43,Aug
246,Data Analyst Career Path | How to Become a Data Analyst + What to Do Next,2020-08-20,129538,4659,0,273,Aug
247,Top 5 Reasons Not to Become a Data Analyst,2020-08-12,917297,19724,0,1052,Aug
248,Data Analyst Bootcamps | Are They Worth It?,2020-08-05,32939,563,0,92,Aug
249,What Does a Data Analyst Actually Do?,2020-07-29,872612,17351,0,460,Jul
250,Data Analyst Question and Answer | Answering Your YouTube Questions,2020-07-22,4266,167,0,67,Jul
251,Scraping Data Off Twitter Using Python | Twitterscraper + NLP + Data Visualization,2020-07-15,53274,1372,0,157,Jul
252,Data Analyst vs Business Analyst | Which Is Right For You?,2020-07-03,736925,18894,0,573,Jul
253,Best Free Online Courses for Data Analysts,2020-06-23,56229,2733,0,95,Jun
254,Best Online Courses for Data Analysts,2020-06-17,179323,9288,0,416,Jun
255,Data Scientist vs Data Analyst | Which Is Right For You?,2020-06-10,761915,23756,0,854,Jun
